name,decade,appearance,hh_sale,appear_pct,h_ppi,ebay_sales,ebay_ppi,wiz_value,wiz_ppi,street_value,os_ppi
Warren Worthington,1960,61,929056,96.83,15230.43,23335,382.54,7913,129.72,68160,1117.3799999999999
Warren Worthington,1970,35,154585,50.720000000000006,4416.71,3362,96.06,1105,31.57,7360,210.29
Warren Worthington,1980,20,23957,14.6,1197.85,583,29.150000000000002,226,11.3,975,48.75
Warren Worthington,1990,23,960,51.11,41.74,97,4.22,65.75,2.86,123,5.35
Hank McCoy,1960,62,929776,98.41000000000001,14996.39,23377,377.05,7953,128.26999999999998,68390,1103.06
Hank McCoy,1970,38,20705,55.07,544.87,1224,32.21,851,22.39,5260,138.42000000000002
Hank McCoy,1980,9,6631,6.57,736.7800000000001,289,32.11,89,9.89,431,47.89
Hank McCoy,1990,10,881,22.22,88.1,82,8.2,38.5,3.8499999999999996,81,8.1
Scott Summers,1960,63,933616,100,14819.3,23420,371.75,7993,126.86999999999999,68590,1088.73
Scott Summers,1970,69,188635,100,2733.84,5431,78.71000000000001,1979,28.68,11675,169.2
Scott Summers,1980,56,29240,40.879999999999995,522.14,1031,18.41,438,7.819999999999999,1427,25.479999999999997
Scott Summers,1990,9,739,20,82.11,82,9.11,39.25,4.359999999999999,74,8.219999999999999
Bobby Drake,1960,62,929776,98.41000000000001,14996.39,23377,377.05,7953,128.26999999999998,68390,1103.06
Bobby Drake,1970,35,154585,50.720000000000006,4416.71,3362,96.06,1105,31.57,7360,210.29
Bobby Drake,1980,6,1514,4.38,252.33,70,11.67,48,8,137,22.830000000000002
Bobby Drake,1990,20,874,44.44,43.7,93,4.6499999999999995,62,3.1,108,5.4
Jean Grey,1960,63,933616,100,14819.3,23420,371.75,7993,126.86999999999999,68590,1088.73
Jean Grey,1970,58,179899,84.06,3101.71,4903,84.53,1679,28.95,10265,176.98000000000002
Jean Grey,1980,14,16868,10.219999999999999,1204.86,665,47.5,165,11.79,822,58.71
Jean Grey,1990,29,1708,64.44000000000001,58.9,170,5.859999999999999,108,3.72,189,6.52
Alex Summers,1960,8,34519,12.7,4314.88,745,93.13,342,42.75,1850,231.25
Alex Summers,1970,13,144946,18.84,11149.69,2703,207.92000000000002,597,45.92,3865,297.31
Alex Summers,1980,43,9352,31.39,217.49,581,13.51,253,5.88,502,11.67
Alex Summers,1990,4,197,8.89,49.25,21,5.25,19,4.75,24,6
Lorna Dane,1960,9,76279,14.29,8475.44,1212,134.67,374,41.56,2000,222.22
Lorna Dane,1970,13,144946,18.84,11149.69,2703,207.92000000000002,597,45.92,3865,297.31
Lorna Dane,1980,19,6602,13.870000000000001,347.46999999999997,405,21.32,116,6.109999999999999,293,15.42
Lorna Dane,1990,7,731,15.56,104.43,41,5.859999999999999,43,6.14,44,6.29
Ororo Munroe,1960,0,0,0,0,0,0,0,0,0,0
Ororo Munroe,1970,36,171050,52.17,4751.39,4349,120.81,1224,34,6890,191.39000000000001
Ororo Munroe,1980,121,54205,88.32,447.97999999999996,1730,14.3,931,7.6899999999999995,2391,19.759999999999998
Ororo Munroe,1990,33,2183,73.33,66.14999999999999,334,10.12,158,4.79,273,8.27
