year,USA,FRA,RUS,JPN,GBR,IND,CHN,CAN,LUX,DEU
1957,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,18.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,35.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1961,66.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,121.0,0.0,36.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1963,175.0,0.0,53.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1964,246.0,0.0,88.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
1965,342.0,3.0,152.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
1966,441.0,4.0,196.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
1967,526.0,6.0,262.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0
1968,587.0,6.0,336.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0
1969,649.0,6.0,406.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0
1970,680.0,8.0,494.0,1.0,6.0,0.0,1.0,3.0,0.0,2.0
1971,726.0,10.0,592.0,3.0,8.0,0.0,2.0,4.0,0.0,2.0
1972,763.0,11.0,680.0,4.0,8.0,0.0,2.0,6.0,0.0,3.0
1973,791.0,11.0,789.0,4.0,8.0,0.0,2.0,8.0,0.0,3.0
1974,810.0,13.0,884.0,5.0,12.0,0.0,3.0,8.0,0.0,7.0
1975,840.0,20.0,995.0,7.0,12.0,1.0,6.0,9.0,0.0,9.0
1976,866.0,20.0,1116.0,8.0,12.0,1.0,8.0,10.0,0.0,10.0
1977,890.0,22.0,1220.0,12.0,12.0,1.0,8.0,10.0,0.0,10.0
1978,925.0,22.0,1339.0,16.0,12.0,1.0,9.0,11.0,0.0,10.0
1979,944.0,22.0,1440.0,18.0,14.0,2.0,9.0,11.0,0.0,10.0
1980,960.0,22.0,1550.0,20.0,14.0,3.0,9.0,11.0,0.0,10.0
1981,980.0,22.0,1674.0,23.0,16.0,6.0,12.0,11.0,0.0,10.0
1982,1000.0,22.0,1793.0,24.0,16.0,8.0,13.0,13.0,0.0,10.0
1983,1025.0,22.0,1909.0,27.0,16.0,10.0,14.0,14.0,0.0,12.0
1984,1056.0,23.0,2024.0,30.0,18.0,10.0,17.0,15.0,0.0,13.0
1985,1086.0,24.0,2143.0,32.0,18.0,10.0,18.0,16.0,0.0,13.0
1986,1097.0,25.0,2257.0,36.0,18.0,10.0,20.0,16.0,0.0,13.0
1987,1107.0,25.0,2373.0,39.0,18.0,10.0,22.0,16.0,0.0,14.0
1988,1126.0,27.0,2482.0,41.0,19.0,13.0,26.0,16.0,1.0,15.0
1989,1151.0,27.0,2581.0,45.0,21.0,13.0,26.0,16.0,1.0,17.0
1990,1191.0,29.0,2677.0,52.0,26.0,15.0,32.0,16.0,1.0,19.0
1991,1221.0,31.0,2760.0,54.0,27.0,16.0,33.0,18.0,2.0,20.0
1992,1249.0,33.0,2838.0,58.0,27.0,18.0,35.0,19.0,2.0,21.0
1993,1280.0,36.0,2897.0,59.0,27.0,19.0,36.0,19.0,3.0,22.0
1994,1315.0,36.0,2961.0,63.0,29.0,21.0,41.0,19.0,4.0,25.0
1995,1355.0,39.0,2997.0,67.0,29.0,23.0,42.0,20.0,5.0,27.0
1996,1396.0,40.0,3025.0,70.0,29.0,24.0,45.0,21.0,6.0,28.0
1997,1484.0,40.0,3053.0,77.0,29.0,26.0,52.0,21.0,7.0,30.0
1998,1575.0,41.0,3080.0,80.0,30.0,26.0,62.0,21.0,8.0,33.0
1999,1655.0,43.0,3095.0,81.0,32.0,28.0,73.0,22.0,9.0,35.0
2000,1711.0,43.0,3118.0,84.0,36.0,29.0,79.0,23.0,11.0,38.0
2001,1745.0,44.0,3148.0,88.0,37.0,31.0,81.0,24.0,12.0,39.0
2002,1778.0,47.0,3167.0,98.0,37.0,33.0,88.0,26.0,14.0,44.0
2003,1806.0,47.0,3189.0,105.0,38.0,37.0,97.0,29.0,14.0,44.0
2004,1827.0,54.0,3208.0,107.0,38.0,38.0,108.0,30.0,14.0,44.0
2005,1848.0,55.0,3227.0,112.0,41.0,41.0,115.0,31.0,14.0,45.0
2006,1884.0,58.0,3243.0,123.0,41.0,41.0,128.0,31.0,15.0,46.0
2007,1930.0,58.0,3261.0,129.0,43.0,46.0,138.0,33.0,16.0,49.0
2008,1954.0,59.0,3282.0,135.0,46.0,50.0,155.0,38.0,17.0,58.0
2009,1992.0,62.0,3312.0,147.0,49.0,54.0,163.0,40.0,17.0,62.0
2010,2027.0,71.0,3336.0,156.0,52.0,56.0,183.0,40.0,19.0,64.0
2011,2056.0,90.0,3360.0,160.0,54.0,63.0,203.0,42.0,21.0,64.0
2012,2089.0,95.0,3383.0,169.0,58.0,65.0,229.0,44.0,23.0,65.0
2013,2169.0,103.0,3412.0,174.0,65.0,70.0,248.0,48.0,24.0,71.0
2014,2264.0,105.0,3447.0,198.0,75.0,74.0,273.0,52.0,26.0,72.0
2015,2368.0,105.0,3474.0,202.0,82.0,78.0,311.0,54.0,26.0,72.0
2016,2473.0,107.0,3488.0,213.0,83.0,90.0,349.0,57.0,26.0,74.0
2017,2759.0,109.0,3513.0,229.0,90.0,99.0,381.0,57.0,26.0,76.0
2018,2949.0,111.0,3536.0,248.0,102.0,109.0,476.0,62.0,35.0,88.0
2019,3311.0,118.0,3566.0,269.0,116.0,119.0,558.0,65.0,39.0,99.0
2020,4295.0,122.0,3590.0,278.0,220.0,122.0,631.0,71.0,47.0,104.0
2021,5527.0,131.0,3611.0,302.0,509.0,127.0,741.0,82.0,58.0,113.0
2022,7466.0,141.0,3661.0,314.0,621.0,138.0,923.0,91.0,74.0,118.0
2023,9632.0,151.0,3723.0,325.0,765.0,144.0,1051.0,102.0,86.0,120.0
