year,a3,a2,name,edu_level,category,group,value,class
2000,AGO,ao,Angola,No Education,Overall,Overall,0.0728133916854858,Private
2008,AGO,ao,Angola,No Education,Overall,Overall,0.098992221057415,Private
2014,AGO,ao,Angola,No Education,Overall,Overall,0.0728952810168266,Private
2000,AGO,ao,Angola,No Education,Overall,Overall,0.0370121896266937,Public
2008,AGO,ao,Angola,No Education,Overall,Overall,0.0737585201859474,Public
2014,AGO,ao,Angola,No Education,Overall,Overall,0.040031436830759,Public
2000,AGO,ao,Angola,Primary Education,Overall,Overall,0.759052336215973,Private
2008,AGO,ao,Angola,Primary Education,Overall,Overall,0.647593915462494,Private
2014,AGO,ao,Angola,Primary Education,Overall,Overall,0.496326565742493,Private
2000,AGO,ao,Angola,Primary Education,Overall,Overall,0.604095816612244,Public
2008,AGO,ao,Angola,Primary Education,Overall,Overall,0.517069637775421,Public
2014,AGO,ao,Angola,Primary Education,Overall,Overall,0.338891893625259,Public
2000,AGO,ao,Angola,Secondary Education,Overall,Overall,0.134714111685753,Private
2008,AGO,ao,Angola,Secondary Education,Overall,Overall,0.136929407715797,Private
2014,AGO,ao,Angola,Secondary Education,Overall,Overall,0.315266758203506,Private
2000,AGO,ao,Angola,Secondary Education,Overall,Overall,0.274198800325394,Public
2008,AGO,ao,Angola,Secondary Education,Overall,Overall,0.234464079141617,Public
2014,AGO,ao,Angola,Secondary Education,Overall,Overall,0.416597068309784,Public
2000,AGO,ao,Angola,Tertiary Education,Overall,Overall,0.0334201566874981,Private
2008,AGO,ao,Angola,Tertiary Education,Overall,Overall,0.116484463214874,Private
2014,AGO,ao,Angola,Tertiary Education,Overall,Overall,0.115511417388916,Private
2000,AGO,ao,Angola,Tertiary Education,industry,Education,0.18438583612442,Private
2008,AGO,ao,Angola,Tertiary Education,industry,Education,0.309929728507996,Private
2014,AGO,ao,Angola,Tertiary Education,industry,Education,0.289385914802551,Private
2000,AGO,ao,Angola,Tertiary Education,industry,Health,0,Private
2008,AGO,ao,Angola,Tertiary Education,industry,Health,0.162576004862785,Private
2014,AGO,ao,Angola,Tertiary Education,industry,Health,0.20833332836628,Private
2000,AGO,ao,Angola,Tertiary Education,occupation,Medical workers,0.0231154672801495,Private
2008,AGO,ao,Angola,Tertiary Education,occupation,Medical workers,0.28383594751358,Private
2000,AGO,ao,Angola,Tertiary Education,occupation,Teachers,0.200672701001167,Private
2008,AGO,ao,Angola,Tertiary Education,occupation,Teachers,0.21135775744915,Private
2000,AGO,ao,Angola,Tertiary Education,Overall,Overall,0.0846931934356689,Public
2008,AGO,ao,Angola,Tertiary Education,Overall,Overall,0.174707770347595,Public
2014,AGO,ao,Angola,Tertiary Education,Overall,Overall,0.204479590058327,Public
2000,AGO,ao,Angola,Tertiary Education,industry,Core Public Administration,0.116594947874546,Public
2008,AGO,ao,Angola,Tertiary Education,industry,Core Public Administration,0.102925911545753,Public
2014,AGO,ao,Angola,Tertiary Education,industry,Core Public Administration,0.265776813030243,Public
2000,AGO,ao,Angola,Tertiary Education,industry,Education,0.0888814777135849,Public
2008,AGO,ao,Angola,Tertiary Education,industry,Education,0.239761129021645,Public
2014,AGO,ao,Angola,Tertiary Education,industry,Education,0.310420483350754,Public
2000,AGO,ao,Angola,Tertiary Education,industry,Health,0.0517522282898426,Public
2008,AGO,ao,Angola,Tertiary Education,industry,Health,0.137118503451347,Public
2014,AGO,ao,Angola,Tertiary Education,industry,Health,0.192170813679695,Public
2000,AGO,ao,Angola,Tertiary Education,industry,Public Administration,0.0795994251966476,Public
2008,AGO,ao,Angola,Tertiary Education,industry,Public Administration,0.183844536542892,Public
2014,AGO,ao,Angola,Tertiary Education,industry,Public Administration,0.220227643847466,Public
2000,AGO,ao,Angola,Tertiary Education,industry,Public Safety,0.0569316707551479,Public
2008,AGO,ao,Angola,Tertiary Education,industry,Public Safety,0.234310388565063,Public
2014,AGO,ao,Angola,Tertiary Education,industry,Public Safety,0.157838270068169,Public
2000,AGO,ao,Angola,Tertiary Education,industry,Social Security,0,Public
2008,AGO,ao,Angola,Tertiary Education,industry,Social Security,0,Public
2000,AGO,ao,Angola,Tertiary Education,occupation,Medical workers,0.272270649671555,Public
2008,AGO,ao,Angola,Tertiary Education,occupation,Medical workers,0.113905593752861,Public
2000,AGO,ao,Angola,Tertiary Education,occupation,Teachers,0.114157527685165,Public
2008,AGO,ao,Angola,Tertiary Education,occupation,Teachers,0.183858603239059,Public
2003,BEN,bj,Benin,No Education,Overall,Overall,0.33069983124733,Private
2011,BEN,bj,Benin,No Education,Overall,Overall,0.171838745474815,Private
2003,BEN,bj,Benin,No Education,Overall,Overall,0.0614406764507294,Public
2011,BEN,bj,Benin,No Education,Overall,Overall,0.0220215041190386,Public
2003,BEN,bj,Benin,Primary Education,Overall,Overall,0.247104361653328,Private
2011,BEN,bj,Benin,Primary Education,Overall,Overall,0.247837275266647,Private
2003,BEN,bj,Benin,Primary Education,Overall,Overall,0.126679986715317,Public
2011,BEN,bj,Benin,Primary Education,Overall,Overall,0.0805144980549812,Public
2003,BEN,bj,Benin,Secondary Education,Overall,Overall,0.305285304784775,Private
2011,BEN,bj,Benin,Secondary Education,Overall,Overall,0.421037971973419,Private
2003,BEN,bj,Benin,Secondary Education,Overall,Overall,0.458047121763229,Public
2011,BEN,bj,Benin,Secondary Education,Overall,Overall,0.546444058418274,Public
2003,BEN,bj,Benin,Tertiary Education,Overall,Overall,0.116910509765148,Private
2011,BEN,bj,Benin,Tertiary Education,Overall,Overall,0.159285992383957,Private
2003,BEN,bj,Benin,Tertiary Education,Overall,Overall,0.353832215070724,Public
